Id,Truth,Score1,Score5,Predicted1,Predicted2,Predicted3,Predicted4,Predicted5
36091,268,0,1,274,268,273,725,266
18439,606,1,1,606,604,600,605,631
33769,501,0,0,626,620,615,653,610
31754,164,0,1,101,87,164,71,40
30846,974,1,1,974,813,993,737,320
6427,162,0,1,120,162,147,78,81
25347,386,1,1,386,391,412,392,406
45946,118,1,1,118,37,168,138,74
22482,481,1,1,481,476,475,492,470
12034,865,1,1,865,949,781,700,219
44654,837,0,1,856,794,828,851,837
39364,892,1,1,892,662,652,676,953
43191,500,1,1,500,480,471,465,499
10009,278,1,1,278,289,260,277,293
46669,348,0,1,539,348,983,917,675
17236,332,1,1,332,913,746,328,327
41456,830,0,0,585,807,779,792,873
26992,477,1,1,477,654,495,480,483
46393,383,1,1,383,384,414,388,399
20145,262,1,1,262,257,256,287,263
27680,477,1,1,477,478,485,495,479
9228,254,1,1,254,277,291,292,255
22178,769,1,1,769,790,972,928,774
1618,604,1,1,604,606,600,605,607
3625,653,0,0,633,632,635,619,611
28575,996,0,0,786,859,674,660,222
33293,274,0,0,281,268,273,276,282
2937,851,1,1,851,713,504,585,816
34556,146,1,1,146,60,154,77,133
49066,683,1,1,683,330,816,701,717
6077,150,1,1,150,204,5,19,170
33339,242,0,1,564,242,834,590,826
18069,71,1,1,71,91,102,179,63
31304,430,1,1,430,435,429,423,439
39734,535,0,1,589,854,535,943,781
44204,382,1,1,382,559,273,252,593
12464,306,1,1,306,718,679,309,310
26838,934,1,1,934,809,371,907,376
24805,868,0,1,805,868,954,736,424
46239,404,1,1,404,407,403,654,440
10459,958,0,1,875,915,819,958,901
25717,500,0,0,637,625,628,632,631
38826,383,1,1,383,384,407,403,388
9382,806,1,1,806,663,956,864,616
20515,121,1,1,121,214,194,474,24
14949,423,0,0,426,57,12,162,429
16974,705,0,0,228,511,709,704,599
22528,820,0,0,818,659,673,875,953
9678,991,0,0,270,831,593,987,287
41006,336,0,0,954,292,709,866,860
17666,40,0,1,48,23,74,182,40
18593,365,1,1,365,648,490,656,453
49436,357,1,1,357,630,722,745,644
34106,775,0,0,809,585,310,587,225
1248,162,0,1,295,108,162,77,21
28125,565,1,1,565,801,838,722,220
3275,22,1,1,22,6,445,503,442
30145,684,0,0,690,686,933,897,685
37680,689,0,1,683,689,839,690,361
32178,243,1,1,243,246,244,235,247
19228,342,0,0,345,354,355,509,353
7236,187,1,1,187,126,89,4,33
36992,865,0,0,874,674,761,850,949
23293,259,1,1,259,600,306,220,596
12937,360,0,0,537,361,680,728,248
43892,350,0,0,899,848,694,846,351
24556,739,1,1,739,743,742,741,322
42780,248,1,1,248,685,720,701,366
47078,940,0,0,809,934,353,219,375
11618,270,1,1,270,269,281,285,282
38575,219,1,1,219,541,540,597,666
45045,479,0,1,492,479,475,470,493
13625,223,0,1,899,338,797,862,223
47582,305,1,1,305,550,548,313,300
20846,848,1,1,848,770,918,877,911
40247,466,0,0,464,470,473,475,458
16427,430,1,1,430,428,403,384,436
26091,843,1,1,843,567,914,980,527
23769,77,1,1,77,21,36,64,47
8439,473,0,0,475,206,492,476,493
21754,170,1,1,170,45,173,189,187
29364,56,1,1,56,69,106,118,88
2034,929,0,1,978,929,863,987,890
49965,2,0,0,26,152,160,94,191
9,599,1,1,599,468,472,839,175
48677,332,1,1,332,326,703,321,327
35347,180,1,1,180,42,161,154,79
32482,942,1,1,942,233,941,222,995
7666,898,0,0,731,297,302,311,298
30515,399,1,1,399,405,199,397,717
4949,1000,1,1,1000,372,505,307,515
6974,314,1,1,314,765,884,446,252
19678,50,1,1,50,128,124,89,84
32528,1,0,0,67,205,28,34,58
11248,991,0,1,831,546,504,991,934
47428,855,1,1,855,998,902,941,836
13275,717,1,1,717,724,816,989,306
45415,386,0,1,406,389,403,386,412
38125,688,0,1,718,688,380,989,799
8593,412,0,1,403,412,468,402,464
24106,413,1,1,413,415,416,390,396
41905,186,0,1,106,151,384,186,49
8069,638,1,1,638,632,631,644,635
23339,615,0,1,614,619,615,603,618
21304,369,0,0,647,217,459,445,651
43938,325,1,1,325,736,744,813,737
16077,282,1,1,282,279,283,276,280
40617,755,1,1,755,925,582,902,871
35717,467,0,0,464,471,721,468,465
48227,694,0,0,347,336,349,277,568
28826,986,0,0,941,889,755,814,888
19382,438,1,1,438,384,423,401,407
2464,295,1,1,295,108,162,293,381
29734,23,0,1,44,23,163,13,498
36838,135,1,1,135,138,203,100,37
34805,1000,1,1,1000,539,533,916,374
459,847,0,1,943,847,976,969,964
16562,734,1,1,734,738,974,806,900
40302,725,1,1,725,905,875,659,665
20903,675,1,1,675,859,983,915,931
21611,499,0,1,501,499,500,495,494
49820,531,0,0,576,579,965,260,778
2171,347,0,1,354,349,347,343,598
18985,902,1,1,902,926,459,505,817
29221,9,0,1,430,9,403,412,414
7689,780,1,1,780,989,539,562,933
19697,800,0,0,518,831,777,533,580
35202,654,1,1,654,626,625,628,631
48732,390,1,1,390,415,412,467,393
30000,417,1,1,417,414,398,394,397
7373,228,1,1,228,552,857,980,890
24413,327,0,1,322,873,768,327,975
8086,473,1,1,473,464,476,483,469
12872,978,0,0,890,850,561,928,863
13760,546,0,0,921,788,742,938,280
45100,248,1,1,248,719,306,715,367
38430,139,0,0,147,78,45,156,36
16098,281,1,1,281,282,267,264,249
21241,616,1,1,616,613,476,457,456
41840,3,0,1,15,3,149,63,211
26584,906,1,1,906,884,765,312,960
40752,37,0,1,92,142,37,175,111
16132,209,0,1,93,163,209,60,68
47097,546,0,0,547,779,845,901,810
32197,457,1,1,457,469,456,465,447
28963,170,1,1,170,51,45,17,140
48362,244,1,1,244,246,248,715,243
35652,303,0,1,317,301,303,305,313
34940,808,0,0,758,513,952,883,894
29671,590,1,1,590,253,380,856,776
2521,89,0,0,82,50,786,173,197
7723,804,1,1,804,355,509,593,223
37395,48,0,0,182,40,148,157,183
6831,602,1,1,602,638,606,625,605
30450,977,0,1,782,977,872,966,985
48698,272,1,1,272,294,555,254,291
38060,274,1,1,274,273,268,267,563
45550,641,1,1,641,624,634,623,382
13330,610,0,0,605,606,619,639,634
22894,947,1,1,947,953,996,824,844
42295,739,0,1,743,739,736,737,838
24043,181,0,1,187,181,200,90,84
23786,8,0,1,174,8,55,63,218
41513,102,0,1,205,81,102,61,141
17373,839,1,1,839,683,917,686,689
20000,104,0,1,185,104,37,166,70
28430,938,0,0,700,382,335,679,681
3760,881,1,1,881,889,877,925,514
6098,478,1,1,478,477,495,967,611
49123,540,0,0,597,666,541,809,373
34413,443,0,1,444,443,442,982,445
2872,396,0,1,476,360,475,363,396
18086,974,0,1,822,974,823,859,829
31611,902,1,1,902,865,537,778,758
6562,421,1,1,421,420,418,438,425
30903,791,1,1,791,803,774,553,716
45803,787,0,0,277,260,382,784,778
9697,614,1,1,614,467,615,468,224
25202,863,0,1,978,929,890,863,987
8985,805,0,1,888,939,805,801,871
39221,558,1,1,558,703,708,557,803
44711,641,1,1,641,646,415,643,883
12171,84,1,1,84,197,50,204,189
17689,742,0,0,888,220,921,728,976
27395,233,0,1,942,943,233,521,728
16831,393,1,1,393,394,395,54,387
47994,998,0,1,821,998,836,855,815
20450,780,0,0,933,995,517,733,596
46686,557,1,1,557,558,869,842,228
17723,771,0,1,672,771,892,673,665
41143,169,0,1,119,169,786,29,106
34043,67,1,1,67,1,53,62,28
49573,824,0,0,864,742,772,612,758
33786,655,1,1,655,650,455,648,365
3330,398,1,1,398,399,397,414,410
32894,281,0,1,282,279,264,281,266
28060,592,1,1,592,817,814,565,984
6132,664,1,1,664,850,666,281,556
31241,102,1,1,102,159,103,205,179
49089,160,0,1,152,160,106,33,49
36584,918,0,1,770,918,848,759,957
43484,418,1,1,418,409,417,441,440
24940,442,0,1,443,442,445,456,446
12521,601,1,1,601,468,652,998,855
44341,460,0,0,620,653,461,462,459
39671,618,1,1,618,619,617,657,683
38963,366,0,1,712,306,679,720,366
22197,759,0,0,911,855,998,848,802
25652,17,1,1,17,41,2,180,134
37546,129,1,1,129,187,188,216,111
1927,126,1,1,126,33,145,786,88
30283,392,1,1,392,419,393,438,437
635,130,1,1,130,134,170,140,588
29558,654,1,1,654,491,479,562,658
2608,893,1,1,893,807,634,382,448
21168,87,0,1,29,26,87,27,72
24690,522,1,1,522,516,532,524,870
23155,181,0,1,200,90,181,112,170
8205,905,0,0,820,752,800,838,526
45383,774,1,1,774,705,256,835,527
25982,9,1,1,9,57,65,52,12
14226,327,1,1,327,321,320,328,318
42446,362,1,1,362,361,364,359,363
38349,108,0,1,11,108,724,957,541
13019,549,0,1,519,549,540,541,531
45679,755,0,0,952,781,874,351,335
40181,895,0,0,593,594,958,911,722
11024,2,0,0,191,94,161,45,19
47644,534,0,1,597,146,539,732,534
21492,541,0,0,382,374,540,784,588
46956,695,0,1,932,287,695,861,705
26357,797,0,1,899,797,535,574,805
5437,535,0,1,899,535,574,353,781
33856,36,1,1,36,47,41,156,107
32744,469,0,0,610,638,224,603,612
19414,5,1,1,5,191,86,114,2
30779,642,1,1,642,646,645,625,628
35081,678,1,1,678,686,701,713,359
265,584,0,0,835,302,313,906,510
2258,912,1,1,912,609,860,571,747
29108,37,0,1,166,111,37,38,92
37116,386,1,1,386,389,403,406,407
9947,92,1,1,92,37,142,111,175
42016,541,0,0,587,379,676,504,585
14676,916,0,0,347,343,354,541,342
21538,85,0,1,206,85,30,404,8
15964,388,1,1,388,383,384,389,386
17959,328,1,1,328,326,332,622,735
8655,346,0,0,338,885,312,310,751
23505,372,0,1,900,372,864,486,885
26707,398,1,1,398,399,384,397,441
45229,98,1,1,98,105,172,124,171
13449,985,1,1,985,364,782,367,977
38719,641,1,1,641,606,646,630,642
27815,757,1,1,757,825,185,969,121
25828,945,1,1,945,785,985,364,938
47214,275,0,1,982,778,275,255,971
11474,498,0,0,612,495,688,730,740
19044,186,0,0,133,253,94,208,145
32314,72,1,1,72,87,94,71,98
30329,236,1,1,236,715,245,689,264
5067,412,1,1,412,388,48,23,403
31492,76,1,1,76,153,55,8,30
36357,539,1,1,539,381,289,555,291
3019,816,0,1,361,816,330,162,366
28349,531,0,1,343,867,531,798,883
48948,51,1,1,51,211,63,170,45
1024,392,0,0,391,412,406,401,394
9414,585,0,0,587,48,609,327,375
22744,48,1,1,48,23,182,40,74
20779,615,0,0,613,486,652,479,614
25081,970,1,1,970,740,779,318,320
43257,75,1,1,75,199,111,38,166
15437,736,0,1,744,325,736,743,738
